problem,category
"The road outside the shopping complex has a huge hole and bikes are swerving around it.","Road / Pothole"
"Several sections of the street surface have broken apart and driving has become difficult.","Road / Pothole"
"There is a damaged patch of road near the school that is causing vehicles to slow down.","Road / Pothole"
"People are struggling to drive through this street because the pavement is badly damaged.","Road / Pothole"
"A deep hole has appeared near the bus stop and two-wheelers are having trouble crossing it.","Road / Pothole"
"The road has developed large cracks and motorists are avoiding one side of the lane.","Road / Pothole"
"Part of the road has collapsed near the market and traffic is being affected.","Road / Pothole"
"The surface near the junction is badly broken and could damage vehicles.","Road / Pothole"
"The entire lane becomes dark after sunset because several lamps have stopped working.","Streetlight"
"The light outside the school has been off for several nights and visibility is poor.","Streetlight"
"People cannot see the footpath properly at night because the nearby lamps are not working.","Streetlight"
"Several lights along this road are flickering and then switching off.","Streetlight"
"The area around the bus stop has very poor lighting once it gets dark.","Streetlight"
"The lamp near the crossing is broken and pedestrians are finding it difficult to see.","Streetlight"
"Residents are reporting that the road has become unusually dark at night.","Streetlight"
"The lights around the market entrance are not functioning properly after sunset.","Streetlight"
"Garbage bags have been left beside the market for several days and the area smells bad.","Garbage / Waste"
"The collection vehicle has not visited this street and waste is piling up.","Garbage / Waste"
"Plastic and household waste are scattered around the residential entrance.","Garbage / Waste"
"An overflowing bin is attracting stray animals near the park.","Garbage / Waste"
"People are complaining about rubbish accumulating beside the service road.","Garbage / Waste"
"The waste has not been cleared from the area near the school.","Garbage / Waste"
"A large pile of discarded material is blocking part of the footpath.","Garbage / Waste"
"The community bin is full and residents have started leaving bags around it.","Garbage / Waste"
"Cars are barely moving because vehicles are blocking both sides of the road.","Traffic"
"The junction is heavily congested and commuters are taking much longer than usual.","Traffic"
"A long queue of vehicles has formed near the metro entrance.","Traffic"
"Vehicles are moving extremely slowly outside the market during the evening.","Traffic"
"Illegal parking is making it difficult for cars to pass through this lane.","Traffic"
"The intersection is experiencing severe congestion and buses are getting delayed.","Traffic"
"Traffic has become unusually slow near the main crossing.","Traffic"
"Commuters are stuck because too many vehicles are using the narrow road at once.","Traffic"
"The taps in several apartments have almost no pressure since yesterday.","Water Supply"
"Residents have been unable to get enough water for their daily needs.","Water Supply"
"The building is receiving water only for a short period each day.","Water Supply"
"Families in this neighbourhood are facing an irregular water supply.","Water Supply"
"There is barely any water coming from the household taps.","Water Supply"
"Residents are running out of stored drinking water because the supply has stopped.","Water Supply"
"The water pressure has dropped significantly across the residential block.","Water Supply"
"People in the apartment complex are reporting repeated interruptions in their water service.","Water Supply"
"Rainwater has collected across the street and pedestrians cannot cross safely.","Waterlogging / Drainage"
"The drain beside the road appears blocked and water is backing up onto the street.","Waterlogging / Drainage"
"Sewage has spread onto the pavement near the bus stop.","Waterlogging / Drainage"
"After the rain, a large amount of water remains on the road for hours.","Waterlogging / Drainage"
"The drainage channel is overflowing and nearby vehicles are struggling to pass.","Waterlogging / Drainage"
"Water has accumulated outside the market and people are walking around the flooded section.","Waterlogging / Drainage"
"The street is flooded because the nearby drain is not carrying water away.","Waterlogging / Drainage"
"Standing water has formed near the intersection and is making the road difficult to use.","Waterlogging / Drainage"
"A damaged railing beside the footpath could cause someone to fall.","Public Safety"
"The open section near the construction area is creating a danger for pedestrians.","Public Safety"
"People are concerned about a broken barrier near the bus stop.","Public Safety"
"A loose metal structure is hanging over the walkway and could injure someone.","Public Safety"
"The pedestrian path has become unsafe because part of the protective railing is missing.","Public Safety"
"Children are at risk because an uncovered section has been left beside the walkway.","Public Safety"
"A damaged safety barrier near the crossing is creating a serious hazard.","Public Safety"
"Residents are avoiding the area because a dangerous obstruction has appeared on the footpath.","Public Safety"
